S.No,Title,Short Name,Organiser,Type,Eligibility (Class),Reg. Opens,Reg. Closes,Exam / Event Date,Results,Fee,Prizes / Awards,Registration Process,Official Website,Level,Pathway / Stage,Short Description,Tags,Confidence,Myark Slug
11,Indian National Junior Science Olympiad (INJSO),INJSO,IAPT / HBCSE TIFR,Junior Science Olympiad,NSEJS qualifiers only,Auto from NSEJS,Auto selection,Jan/Feb 2027,Feb 2027,Nil,"Medal; top 6 represent India at IJSO","Automatic from NSEJS. Conducted by IAPT at designated centres.",iapt.net.in / olympiads.hbcse.tifr.res.in,National → International,Stage 2 of 5 (NSEJS → INJSO → OCSC → PDC → IJSO),Second stage of IJSO selection. Physics Chemistry Biology combined for Class 10. Top performers represent India at IJSO.,"junior science, olympiad, class 8-10, HBCSE, IAPT, national, IJSO",10/10,indian-national-junior-science-olympiad-injso-2027
12,Indian National Astronomy Olympiad (INAO),INAO,HBCSE TIFR,Astronomy Olympiad,NSEA qualifiers only,Auto from NSEA,Auto selection,Jan/Feb 2027,Feb 2027,Nil,"Medal; top 4 represent India at IOAA","Automatic selection from NSEA. No separate registration.",olympiads.hbcse.tifr.res.in,National → International,Stage 2 of 5 (NSEA → INAO → OCSC → PDC → IOAA),Second stage of IOAA selection. Theoretical astronomy and astrophysics. Top 4 represent India at International Olympiad on Astronomy and Astrophysics.,"astronomy, astrophysics, olympiad, class 10-12, HBCSE, national, IOAA, INAO",10/10,indian-national-astronomy-olympiad-inao-2027
13,International Mathematical Olympiad — World,IMO World,IMO Board / Shanghai China 2026,Mathematics Olympiad,Top 6 from IMOTC — represent India,N/A (national selection),N/A,Jul 2026 (Shanghai),Jul 2026,Nil (government funded),"Gold, Silver, Bronze medals; international recognition",National selection only. Qualify through IOQM → RMO → INMO → IMOTC. Top 6 represent India.,imo-official.org,International,Stage 5 of 5 (final — represent India),Most prestigious maths competition in the world for high school students. Two-day exam with six proof-based problems. India has won multiple medals. Selection pathway: IOQM → RMO → INMO → IMOTC → IMO.,"mathematics, olympiad, international, class 11-12, IMO, world, gold medal",10/10,international-mathematical-olympiad-imo-world-2026
14,International Physics Olympiad — World,IPhO,IPhO / HBCSE India team,Physics Olympiad,Top 5 from OCSC Physics — represent India,N/A,N/A,Jul 2026,Jul 2026,Nil,"Gold, Silver, Bronze medals; international recognition","National selection through NSEP → INPhO → OCSC. Top 5 represent India. No direct registration.",ipho-new.org,International,Stage 5 of 5,World championship in Physics for high school students. Theoretical and experimental components. India consistently medals. Pathway: NSEP → INPhO → OCSC → PDC → IPhO.,"physics, olympiad, international, class 11-12, IPhO, world, gold medal",10/10,international-physics-olympiad-ipho-world-2026
15,International Chemistry Olympiad — World,IChO,IChO / HBCSE India team,Chemistry Olympiad,Top 4 from OCSC Chemistry — represent India,N/A,N/A,Jul 2026,Jul 2026,Nil,"Gold, Silver, Bronze medals","National selection through NSEC → INChO → OCSC. No direct registration.",icho-official.org,International,Stage 5 of 5,World championship in Chemistry. Theoretical (5 hours) and practical (5 hours) components. India has won multiple medals. Pathway: NSEC → INChO → OCSC → PDC → IChO.,"chemistry, olympiad, international, class 11-12, IChO, world, gold medal",10/10,international-chemistry-olympiad-icho-world-2026
16,International Biology Olympiad — World,IBO,IBO / HBCSE India team,Biology Olympiad,Top 4 from OCSC Biology — represent India,N/A,N/A,Jul 2026,Jul 2026,Nil,"Gold, Silver, Bronze medals","National selection through NSEB → INBO → OCSC. No direct registration.",ibo-info.org,International,Stage 5 of 5,World championship in Biology. Tests Cell Biology Anatomy Physiology Genetics Ecology Biosystematics. Pathway: NSEB → INBO → OCSC → PDC → IBO.,"biology, olympiad, international, class 11-12, IBO, world, gold medal",10/10,international-biology-olympiad-ibo-world-2026
17,International Junior Science Olympiad — World,IJSO,IJSO / HBCSE India team,Junior Science Olympiad,Top 6 from OCSC Junior Science — represent India,N/A,N/A,Dec 2026,Dec 2026,Nil,"Gold, Silver, Bronze medals","National selection through NSEJS → INJSO → OCSC. No direct registration.",ijsoweb.org,International,Stage 5 of 5,World championship in science for students below 15 years. Physics Chemistry Biology combined. India consistently wins medals. Pathway: NSEJS → INJSO → OCSC → PDC → IJSO.,"junior science, olympiad, international, class 8-10, IJSO, world, gold medal",10/10,international-junior-science-olympiad-ijso-world-2026
18,International Olympiad on Astronomy and Astrophysics (IOAA),IOAA,IOAA / HBCSE India team,Astronomy Olympiad,Top 4 from OCSC Astronomy — represent India,N/A,N/A,Aug 2026,Aug 2026,Nil,"Gold, Silver, Bronze medals","National selection through NSEA → INAO → OCSC. No direct registration.",ioaastrophysics.org,International,Stage 5 of 5,World championship in Astronomy and Astrophysics. Theoretical data analysis and observational components. Pathway: NSEA → INAO → OCSC → PDC → IOAA.,"astronomy, astrophysics, olympiad, international, class 10-12, IOAA, world",10/10,international-olympiad-astronomy-astrophysics-ioaa-2026
19,International Olympiad in Informatics — World,IOI,IOI / IARCS India team,Computing Olympiad,Top 4 from IOAI — represent India,N/A,N/A,Aug 2026,Aug 2026,Nil,"Gold, Silver, Bronze medals","National selection through ZCO → ZIO → INOI → IOAI. Qualifying exams conducted by IARCS at iarcs.org.in.",ioinformatics.org,International,Stage 5 of 5,World championship in competitive programming and algorithms. Two 5-hour sessions with algorithmic problems. India qualifies through IARCS: ZCO/ZIO → INOI → IOAI → IOI.,"informatics, programming, coding, olympiad, international, class 8-12, IOI, world, IARCS",10/10,international-olympiad-informatics-ioi-world-2026
20,International Earth Science Olympiad (IESO),IESO,IESO / GSI India team,Earth Science Olympiad,School students — national selection,N/A,N/A,Aug 2026,Aug 2026,Nil,"Gold, Silver, Bronze medals","National selection by Geological Survey of India (GSI) with HBCSE. Check GSI website for selection schedule.",ieso-info.org / gsi.gov.in,International,Multi-stage national selection,World championship in Earth Sciences covering geology oceanography meteorology and astronomy. India sends 4 students after national selection by GSI.,"earth science, geology, olympiad, international, class 10-12, IESO, world",8/10,international-earth-science-olympiad-ieso-2026
21,SOF International Mathematics Olympiad (IMO),SOF IMO,Science Olympiad Foundation (SOF),"Mathematics Olympiad","Class 1–12, all boards",Apr–May 2026,30 days before exam,"Oct 23 / Nov 26 / Dec 10 2026 (school chooses)",Feb 2027,₹125 per student + up to ₹25 school admin,"Gold/Silver/Bronze medals, certificates, scholarships up to ₹50000, international ranking","Through school only. No individual registration. School downloads form from sofworld.org. School selects one exam date from three options.",sofworld.org/imo,School → Zonal → International,2-level exam (Level 1 at school; Level 2 for top performers),India's most popular maths olympiad. 99000+ schools millions of students. Two levels — Level 1 at school Level 2 national. Tests mathematical reasoning at class level plus higher-order thinking.,"mathematics, olympiad, SOF, class 1-12, school, national, international ranking",10/10,sof-international-mathematics-olympiad-imo-2026
22,SOF National Science Olympiad (NSO),SOF NSO,Science Olympiad Foundation (SOF),Science Olympiad,"Class 1–12, all boards",Apr–May 2026,30 days before exam,"Oct 30 / Nov 19 / Dec 3 2026 (school chooses)",Feb 2027,₹125 per student,"Gold/Silver/Bronze medals, certificates, scholarships, international ranking","Through school only. School registers at sofworld.org. Chooses one date from three options.",sofworld.org/nso,School → Zonal → International,2-level exam (Level 1 and Level 2),India's largest school science olympiad by SOF. Tests Science concepts at class level plus higher-order thinking. Millions of students annually. Two levels.,"science, olympiad, SOF, class 1-12, school, national, international ranking",10/10,sof-national-science-olympiad-nso-2026
23,SOF International English Olympiad (IEO),SOF IEO,Science Olympiad Foundation (SOF) + British Council,English Olympiad,"Class 1–12, all boards",Apr–May 2026,30 days before exam,"Sep 30 / Oct 27 / Nov 17 2026 (school chooses)",Jan 2027,₹125 per student,"Gold/Silver/Bronze medals, certificates, British Council endorsement, scholarships","Through school only. School registers at sofworld.org. Earliest SOF exam — starts September.",sofworld.org/ieo,School → Zonal → International,2-level exam,English language olympiad by SOF in partnership with British Council. Tests grammar vocabulary reading comprehension. Earliest SOF exam in the year.,"english, olympiad, SOF, British Council, class 1-12, school, language",10/10,sof-international-english-olympiad-ieo-2026
24,SOF International General Knowledge Olympiad (IGKO),SOF IGKO,Science Olympiad Foundation (SOF),GK Olympiad,"Class 1–10",Apr–May 2026,30 days before exam,"Sep 25 / Oct 8 / Nov 7 2026",Dec 2026,₹125 per student,"Medals, certificates, trophies, school ranking","Through school only. Single-level exam. No Level 2.",sofworld.org/igko,School → Zonal → International,Single level exam,GK olympiad by SOF for Class 1–10. Tests current affairs history geography sports science achievements. One of SOF's earliest exams — begins September.,"GK, general knowledge, olympiad, SOF, class 1-10, school, current affairs",10/10,sof-international-general-knowledge-olympiad-igko-2026
25,SOF International Computer Science Olympiad (ICSO),SOF ICSO,Science Olympiad Foundation (SOF),Computer Science Olympiad,"Class 1–12",Apr–May 2026,30 days before exam,"Sep 24 / Oct 9 / Jan 22 2027",Mar 2027,₹125 per student,"Medals, certificates, school ranking","Through school only. Single-level exam. Previously known as NCO.",sofworld.org/icso,School → Zonal → International,Single level,Computer science olympiad by SOF. Tests programming concepts logical reasoning IT fundamentals cyber awareness. Renamed from NCO (National Cyber Olympiad) to ICSO.,"computer science, coding, cyber, olympiad, SOF, class 1-12, school",10/10,sof-international-computer-science-olympiad-icso-2026
26,SOF International Social Studies Olympiad (ISSO),SOF ISSO,Science Olympiad Foundation (SOF),Social Studies Olympiad,"Class 1–10",Apr–May 2026,30 days before exam,"Sep 18 / Nov 20 / Jan 23 2027",Mar 2027,₹125 per student,"Medals, certificates, school ranking","Through school only. Single-level exam. Earliest SOF date starts September.",sofworld.org,School → Zonal → International,Single level,Social Studies olympiad by SOF covering History Geography Civics Economics. Class 1–10. One of SOF's earliest exam dates.,"social studies, history, geography, olympiad, SOF, class 1-10, school",9/10,sof-international-social-studies-olympiad-isso-2026
27,SOF International Commerce Olympiad (ICO),SOF ICO,Science Olympiad Foundation (SOF),Commerce Olympiad,"Class 11–12 (Commerce stream only)",Apr–May 2026,30 days before exam,"Sep 18 / Nov 7 2026",Jan 2027,₹125 per student,"Medals, certificates, school ranking","Through school only. Single-level. Commerce stream students only.",sofworld.org,School → Zonal → International,Single level,The only national olympiad specifically for Commerce stream students in Class 11–12. Tests Accountancy Economics Business Studies.,"commerce, accountancy, economics, olympiad, SOF, class 11-12, school, commerce stream",9/10,sof-international-commerce-olympiad-ico-2026
28,SOF International Hindi Olympiad (IHO),SOF IHO,Science Olympiad Foundation (SOF),Hindi Language Olympiad,"Class 1–12",Apr–May 2026,30 days before exam,"Sep 18 / Nov 7 2026",Jan 2027,₹125 per student,"Medals, certificates, school ranking","Through school only. Single-level. The only national olympiad in Hindi language.",sofworld.org,School → Zonal,Single level,Hindi language olympiad by SOF. Tests reading comprehension grammar vocabulary and literary awareness in Hindi. The only national olympiad in Hindi for school students.,"hindi, language, olympiad, SOF, class 1-12, school, hindi medium",9/10,sof-international-hindi-olympiad-iho-2026
29,Silverzone International Olympiad of Mathematics (iOM),Silverzone iOM,Silverzone Foundation,Mathematics Olympiad,"Class 1–12",May–Jun 2026,Aug 2026,Oct–Nov 2026,Jan 2027,₹225 per student,"Gold/Silver/Bronze medals, cash prizes, certificates, scholarships","Through school or individual online registration at silverzone.org. Individual registration is key differentiator from SOF.",silverzone.org,School → Zonal → National → International,2-level exam,Mathematics olympiad by Silverzone. Allows individual student registration unlike SOF. Tests Logical Reasoning Mathematical Reasoning and Everyday Mathematics.,"mathematics, olympiad, Silverzone, class 1-12, school, individual registration",9/10,silverzone-international-olympiad-mathematics-iom-2026
30,Silverzone International Olympiad of Science (iOS),Silverzone iOS,Silverzone Foundation,Science Olympiad,"Class 1–12",May–Jun 2026,Aug 2026,Oct–Nov 2026,Jan 2027,₹225 per student,"Gold/Silver/Bronze medals, cash prizes, certificates","Through school or individual online registration at silverzone.org.",silverzone.org,School → Zonal → National,2-level exam,Science olympiad by Silverzone. Individual registration available making it accessible to students whose schools aren't registered. Tests Physics Chemistry Biology at class level.,"science, olympiad, Silverzone, class 1-12, school, individual registration",9/10,silverzone-international-olympiad-science-ios-2026
31,Silverzone International Olympiad of English Language (iOEL),Silverzone iOEL,Silverzone Foundation,English Olympiad,"Class 1–12",May–Jun 2026,Aug 2026,Oct–Nov 2026,Jan 2027,₹225 per student,"Medals, certificates, scholarships","Through school or individual registration at silverzone.org.",silverzone.org,School → Zonal → National,2-level exam,English language olympiad by Silverzone. Tests English grammar vocabulary reading skills. Individual registration available for students whose schools are not Silverzone registered.,"english, language, olympiad, Silverzone, class 1-12, school",9/10,silverzone-international-olympiad-english-ioel-2026
32,Unified Cyber Olympiad (UCO),UCO,Unified Council,Computer / Cyber Olympiad,"Class 3–10",May 2026,Aug 2026,Oct–Nov 2026,Jan 2027,₹150 per student,"Gold/Silver/Bronze medals, certificates, cash prizes, scholarships","Through school or individual registration at unifiedcouncil.com.",unifiedcouncil.com,School → State → National,Single level with state/national rankings,Computer and cyber awareness olympiad by Unified Council. Tests computer fundamentals programming basics logical reasoning cyber safety. Good beginner olympiad for younger students.,"computer, cyber, olympiad, Unified Council, class 3-10, school",9/10,unified-cyber-olympiad-uco-2026
33,National Level Science Talent Search Exam (NSTSE),NSTSE,Unified Council,Science Talent Search,"Class 2–12",May 2026,Sep 2026,Nov–Dec 2026,Feb 2027,₹150 per student,"Gold/Silver/Bronze medals, certificates, cash prizes, scholarships up to ₹1 Lakh; diagnostic report for every student","Through school or individual registration at unifiedcouncil.com. Every student gets a detailed diagnostic report of strengths and weaknesses.",unifiedcouncil.com/about-nstse.html,School → State → National,Single level — diagnostic tool + competition,Diagnostic science and maths talent search by Unified Council. Every student gets a detailed report showing strengths and weaknesses. Maths + Science integrated test. Good for Class 2–8.,"science, maths, talent search, NSTSE, Unified Council, class 2-12, diagnostic, school",9/10,national-level-science-talent-search-exam-nstse-2026
34,Unified International English Olympiad (UIEO),UIEO,Unified Council,English Olympiad,"Class 1–10",May 2026,Aug 2026,Oct–Nov 2026,Jan 2027,₹150 per student,"Medals, certificates, cash prizes","Through school or individual at unifiedcouncil.com.",unifiedcouncil.com,School → National,Single level,English language olympiad by Unified Council for Class 1–10. Tests reading comprehension grammar vocabulary. Individual registration available.,"english, language, olympiad, Unified Council, class 1-10, school",8/10,unified-international-english-olympiad-uieo-2026
35,Unified International Mathematics Olympiad (UIMO),UIMO,Unified Council,Mathematics Olympiad,"Class 1–10",May 2026,Aug 2026,Oct–Nov 2026,Jan 2027,₹150 per student,"Medals, certificates, cash prizes","Through school or individual at unifiedcouncil.com.",unifiedcouncil.com,School → National,Single level,Mathematics olympiad by Unified Council for Class 1–10. Individual registration available — accessible to all students regardless of school registration.,"mathematics, olympiad, Unified Council, class 1-10, school, individual registration",8/10,unified-international-mathematics-olympiad-uimo-2026
36,Indian Talent Olympiad — Full Suite (8 subjects),ITO,Indian Talent Olympiad,Multi-subject Olympiad,"Class 1–10, all boards",Monthly rolling,Monthly rolling,"Monthly online exams + Annual exam Nov–Dec 2026","Within 3 days of online / Feb 2027 for annual",₹200 per subject,"Weekly cash prizes, scholarships, gold/silver/bronze medals, trophy for Rank 1","Individual online registration at indiantalent.org. No school needed. Appear from home. 8 subjects: Maths Science English GK Computer Drawing Essay Social Studies.",indiantalent.org,School → National,Monthly online + Annual offline exam,"India's most accessible olympiad — individual registration appear from home monthly exams. 8 subject olympiads. Very popular Class 1–8. Unique: weekly cash prizes to top performers throughout the year.","maths, science, english, GK, computer, art, olympiad, ITO, class 1-10, online, individual, monthly",9/10,indian-talent-olympiad-ito-2026
37,CREST Mathematics Olympiad (CMO),CREST CMO,CREST Olympiads,Mathematics Olympiad,"Class 1–10",Jun–Jul 2026,Oct 2026,"Nov–Jan 2026–27 (student chooses date and time)","3 days after exam",₹300–₹350 per subject,"Gold/Silver/Bronze medals, certificates, cash scholarships","Individual online registration at crestolympiads.com. Student selects preferred exam date and time. Fully online from home. Results in 3 days — fastest of any olympiad.",crestolympiads.com,National → International ranking,Single level (no Level 2),Most flexible olympiad — fully online from home student chooses exam date results in 3 days. Also offers Science English Reasoning Cyber GK olympiads in same format.,"mathematics, olympiad, CREST, class 1-10, online, flexible, individual, home-based",9/10,crest-mathematics-olympiad-cmo-2026
38,SASMO — Singapore and Asian Schools Math Olympiad,SASMO,Singapore International Math Contests Centre (SIMCC),"Mathematics Olympiad","Class 1–12 (Grade 1–13)",Dec 2025,Mar 25 2026,"Apr 5 2026 (online individual) / Apr 2–3 (school paper)",Apr–May 2026,₹1800 (India),"Perfect Score Award ($100 voucher), Gold (top 8%), Silver (12%), Bronze (20%), medals, certificates; top performers invited to SIMOC global finals in Singapore","Individual registration at sasmo.com.sg or through SIMCC India partner. Pay online. Student appears online from home. School paper option also available.",sasmo.com.sg,International (42+ countries),Single level + top performers invited to SIMOC finals in Singapore,"Asia's largest international maths competition with 66000+ participants from 42 countries. Focuses on higher-order thinking beyond textbook maths. Top performers invited to Singapore for SIMOC global finals. Deadline March 2026.","mathematics, olympiad, SASMO, international, Singapore, class 1-12, higher order thinking, SIMOC",10/10,sasmo-singapore-asian-schools-math-olympiad-2026
39,National Mathematics Talent Contest (NMTC),NMTC,Association of Mathematics Teachers of India (AMTI),Mathematics Olympiad,"Class 3–12 (5 levels: Primary Sub-Junior Junior Inter Senior)",May–Jun 2026,Aug 2026,"Sep 2026 (Preliminary) / Nov 2026 (Final)",Dec 2026,₹60–₹150 per student,"NMTC medallists certificates books; national recognition for finalists","Through school or registered AMTI centre. School contacts local AMTI representative. Very affordable. Two stages: Preliminary screening then Final for qualifiers.",amtionline.com,National,2-stage (Preliminary + Final),"One of India's oldest maths competitions since 1959. Known for challenging non-routine problems requiring genuine mathematical thinking. Five levels. Very popular in Tamil Nadu Karnataka and Andhra Pradesh.","mathematics, olympiad, NMTC, AMTI, class 3-12, national, non-routine, problem solving",9/10,national-mathematics-talent-contest-nmtc-2026
40,AMC — American Mathematics Competition (AMC 8 / AMC 10 / AMC 12),AMC 8/10/12,Mathematical Association of America (MAA),"Mathematics Olympiad","AMC 8: Grade 8 and below · AMC 10: Grade 10 and below · AMC 12: Grade 12",Sep 2026,Oct 2026,"Nov 2026 (AMC 8) / Feb 2027 (AMC 10/12)","Dec 2026 / Mar 2027",₹1500–₹2500 through Indian centre,"Achievement Honor Roll Distinction certificates; AIME qualification for top AMC 10/12 scorers","Through registered AMC Competition Manager (teacher/school) in India. Find Indian AMC centres at maa.org. Individual registration not permitted without a centre.",maa.org/student-programs/amc,International (USA + worldwide),AMC → AIME → USAMO/IMO (for exceptional students),Prestigious US-based maths competition series open to international students. Top scorers qualify for AIME. Gateway to elite international maths recognition. Growing in India's top private schools.,"mathematics, olympiad, AMC, American, international, class 6-12, AIME, USA, elite",9/10,american-mathematics-competition-amc-2026
41,Australian Mathematics Competition (AMC),AMC Australia,Australian Maths Trust (AMT),Mathematics Olympiad,"Class 3–12 (Years 3–12)",Apr 2026,Jul 3 2026,Aug 2026,Oct–Nov 2026,"AUD 5.50 per student (approx ₹300) through school","Prize (top 0.3%), High Distinction (top 3%), Distinction (top 20%), Credit, Proficiency, Participation certificates. State/national medals for top performers.","Through school. Teacher/coordinator registers at amt.edu.au. Individual registration not allowed. Indian schools can register directly. Paper exam at school.",amt.edu.au/amc,International (Australia + worldwide),Single level — one day globally,"Australia's longest-running school maths competition since 1978. All students receive a certificate — Participation to Prize. Very affordable. Internationally recognised certificate. Growing participation from India's top schools.","mathematics, olympiad, Australia, AMT, international, class 3-12, certificate, global, affordable",9/10,australian-mathematics-competition-amc-2026
42,CBSE Aryabhatta Ganit Challenge (AGC),AGC,CBSE,Mathematics Olympiad,"Class 8–10, CBSE schools only",Apr–May 2026,Jul 2026,Aug–Sep 2026,Oct 2026,FREE (CBSE school students),"Certificates, medals; district and national recognition","Through CBSE school. School registers students on CBSE portal. Free for all CBSE Class 8–10 students. School → District → National stages.",cbseacademic.nic.in,School → District → National,Multi-stage: School → District → National,"CBSE's official maths competition named after Aryabhatta. Completely free for CBSE students. Tests application of maths beyond textbooks. Multi-stage — best at school go to district then national.","mathematics, CBSE, AGC, Aryabhatta, olympiad, class 8-10, free, government, national",10/10,cbse-aryabhatta-ganit-challenge-agc-2026
43,International Chemistry Quiz (ICQ),ICQ,RACI (Australia) / ICHO,Chemistry Competition,"Class 11–12, all boards",Jul 2026,Aug 2026,Aug 2026,Sep 2026,₹300–₹500 through participating centre,"High Distinction Distinction Credit Participation certificates; top scorers may be considered for IChO preparation","Through registered school or chemistry teacher. Check RACI and IUPAC websites for India-participating centres. Not widely available — check with school chemistry teacher.",raci.org.au/events/icq,International,Single level — international assessment,"Australia-based international chemistry competition for Class 11–12 globally. Focuses on applied chemistry beyond textbook. Recognised internationally and good for student profiles applying to global universities.","chemistry, international, ICQ, class 11-12, Australia, RACI, higher secondary",7/10,international-chemistry-quiz-icq-2026
